Unnamed: 0,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,csv_file
1,44,Bojan Bogdanović,SF,6-8,216,"April 18, 1989",ba,3,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,20,Trevor Booker,PF,6-8,228,"November 25, 1987",us,7,Clemson University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,2,Darren Collison,PG,6-0,175,"August 23, 1987",us,8,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,25,Al Jefferson,C,6-10,289,"January 4, 1985",us,13,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,6,Cory Joseph,PG,6-3,193,"August 20, 1991",ca,6,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,22,T.J. Leaf,PF,6-10,225,"April 30, 1997",il,R,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,10,Trey McKinney-Jones,SG,6-5,214,"August 27, 1990",us,R,University of Miami,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,26,Ben Moore,PF,6-8,220,"May 13, 1995",us,R,Southern Methodist University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,4,Victor Oladipo,SG,6-4,210,"May 4, 1992",us,4,Indiana University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,0,Alex Poythress,PF,6-9,235,"September 6, 1993",us,1,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,40,Glenn Robinson,SF,6-6,222,"January 8, 1994",us,3,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,11,Domantas Sabonis,C,6-11,240,"May 3, 1996",us,1,Gonzaga University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,1,Lance Stephenson,SG,6-6,230,"September 5, 1990",us,7,University of Cincinnati,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,5,Edmond Sumner,PG,6-6,176,"December 31, 1995",us,R,Xavier University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,33,Myles Turner,C,6-11,250,"March 24, 1996",us,2,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
16,12,Damien Wilkins,SF,6-6,225,"January 11, 1980",us,9,"North Carolina State University, University of Georgia",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
17,3,Joe Young,PG,6-2,180,"June 27, 1992",us,2,"University of Houston, University of Oregon",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
18,21,Thaddeus Young,PF,6-8,221,"June 21, 1988",us,10,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,3,Bradley Beal,SG,6-5,207,"June 28, 1993",us,5,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,8,Tim Frazier,PG,6-1,170,"November 1, 1990",us,3,Pennsylvania State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,13,Marcin Gortat,C,6-11,240,"February 17, 1984",pl,10,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,4,Ty Lawson,PG,5-11,195,"November 3, 1987",us,8,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,1,Chris McCullough,PF,6-11,200,"February 5, 1995",us,2,Syracuse University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us,8,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,5,Markieff Morris,PF,6-10,245,"September 2, 1989",us,6,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,12,Kelly Oubre,SF,6-7,205,"December 9, 1995",us,2,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,22,Otto Porter,SF,6-8,198,"June 3, 1993",us,4,Georgetown University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,7,Devin Robinson,SF,6-8,200,"March 7, 1995",us,R,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,31,Tomáš Satoranský,SG,6-7,210,"October 30, 1991",cz,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,30,Mike Scott,PF,6-8,237,"July 16, 1988",us,5,University of Virginia,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,9,Ramon Sessions,PG,6-3,190,"April 11, 1986",us,10,"University of Nevada, Reno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,14,Jason Smith,C,7-0,240,"March 2, 1986",us,9,Colorado State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,2,John Wall,PG,6-4,210,"September 6, 1990",us,7,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,8,�lex Abrines,SG,6-6,200,"August 1, 1993",es,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,12,Steven Adams,C,7-0,265,"July 20, 1993",nz,4,University of Pittsburgh,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,7,Carmelo Anthony,PF,6-8,240,"May 29, 1984",us,14,Syracuse University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,3,Corey Brewer,SG,6-9,186,"March 5, 1986",us,10,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,4,Nick Collison,PF,6-10,255,"October 26, 1980",us,13,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,35,PJ Dozier,PG,6-6,205,"October 25, 1996",us,R,University of South Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,2,Raymond Felton,PG,6-1,205,"June 26, 1984",us,12,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,23,Terrance Ferguson,SG,6-7,190,"May 17, 1998",us,R,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,13,Paul George,SF,6-9,220,"May 2, 1990",us,7,"California State University, Fresno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,9,Jerami Grant,PF,6-9,220,"March 12, 1994",us,3,Syracuse University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,25,Daniel Hamilton,SG,6-7,195,"August 8, 1995",us,R,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,34,Josh Huestis,PF,6-7,230,"December 19, 1991",us,2,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,44,Dakari Johnson,C,7-0,255,"September 22, 1995",us,R,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,54,Patrick Patterson,PF,6-9,230,"March 14, 1989",us,7,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,21,Andre Roberson,SG,6-7,210,"December 4, 1991",us,4,University of Colorado,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,15,Kyle Singler,SF,6-8,228,"May 4, 1988",us,5,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
16,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,9,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,13,Bam Adebayo,C,6-10,255,"July 18, 1997",us,R,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,22,Luke Babbitt,SF,6-9,225,"June 20, 1989",us,7,"University of Nevada, Reno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,7,Goran Dragić,PG,6-3,190,"May 6, 1986",si,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,2,Wayne Ellington,SG,6-5,200,"November 29, 1987",us,8,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,14,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,16,James Johnson,PF,6-8,240,"February 20, 1987",us,8,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,8,Tyler Johnson,PG,6-4,190,"May 7, 1992",us,3,"California State University, Fresno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,5,Derrick Jones,SF,6-7,200,"February 15, 1997",us,1,"University of Nevada, Las Vegas",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,17,Rodney McGruder,SG,6-4,200,"July 29, 1991",us,1,Kansas State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,25,Jordan Mickey,PF,6-8,235,"July 9, 1994",us,2,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,9,Kelly Olynyk,PF,7-0,240,"April 19, 1991",ca,4,Gonzaga University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,0,Josh Richardson,SF,6-6,200,"September 15, 1993",us,2,University of Tennessee,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,14,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,11,Dion Waiters,SG,6-4,215,"December 10, 1991",us,5,Syracuse University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,14,Derrick Walton,PG,6-1,189,"April 3, 1995",us,R,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,15,Okaro White,PF,6-8,205,"August 13, 1992",us,1,Florida State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
16,21,Hassan Whiteside,C,7-0,265,"June 13, 1989",us,5,Marshall University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
17,12,Matt Williams,SG,6-5,210,"October 14, 1993",us,R,University of Central Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
18,20,Justise Winslow,PF,6-7,225,"March 26, 1996",us,2,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,45,Cole Aldrich,C,6-11,250,"October 31, 1988",us,7,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,8,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",rs,2,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,30,Aaron Brooks,PG,6-0,161,"January 14, 1985",us,9,University of Oregon,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,3,Anthony Brown,SF,6-7,210,"October 10, 1992",us,2,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,23,Jimmy Butler,SG,6-8,232,"September 14, 1989",us,6,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us,17,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,5,Gorgui Dieng,C,6-11,252,"January 18, 1990",sn,4,University of Louisville,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,13,Marcus Georges-Hunt,SG,6-5,216,"March 28, 1994",us,1,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,67,Taj Gibson,PF,6-9,232,"June 24, 1985",us,8,University of Southern California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,1,Tyus Jones,PG,6-2,196,"May 10, 1996",us,2,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,15,Shabazz Muhammad,SF,6-6,223,"November 13, 1992",us,4,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,24,Justin Patton,C,7-0,241,"June 14, 1997",us,R,Creighton University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,25,Derrick Rose,PG,6-3,200,"October 4, 1988",us,8,University of Memphis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,0,Jeff Teague,PG,6-2,195,"June 10, 1988",us,8,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us,2,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,22,Andrew Wiggins,SF,6-8,194,"February 23, 1995",ca,3,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,12,LaMarcus Aldridge,C,6-11,260,"July 19, 1985",us,11,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,1,Kyle Anderson,SF,6-9,230,"September 20, 1993",us,3,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,42,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,10,Matt Costello,C,6-9,245,"August 5, 1993",us,R,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,11,Bryn Forbes,SG,6-3,190,"July 23, 1993",us,1,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,16,Pau Gasol,C,7-0,250,"July 6, 1980",es,16,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,22,Rudy Gay,PF,6-8,230,"August 17, 1986",us,11,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,20,Manu Ginóbili,SG,6-6,205,"July 28, 1977",ar,15,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,14,Danny Green,SG,6-6,215,"June 22, 1987",us,8,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,24,Darrun Hilliard,SG,6-6,205,"April 13, 1993",us,2,Villanova University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,77,Joffrey Lauvergne,C,6-11,220,"September 30, 1991",fr,3,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,2,Kawhi Leonard,SF,6-7,230,"June 29, 1991",us,6,San Diego State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,8,Patty Mills,PG,6-0,180,"August 11, 1988",au,8,Saint Mary's College of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,5,Dejounte Murray,PG,6-5,170,"September 19, 1996",us,1,University of Washington,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,9,Tony Parker,PG,6-2,185,"May 17, 1982",be,16,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,3,Brandon Paul,SG,6-4,200,"April 30, 1991",us,R,University of Illinois at Urbana-Champaign,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
16,4,Derrick White,PG,6-4,190,"July 2, 1994",us,R,University of Colorado,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,8,Al-Farouq Aminu,PF,6-9,220,"September 21, 1990",us,7,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
1,2,Wade Baldwin,PG,6-4,200,"March 29, 1996",us,1,Vanderbilt University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
2,33,Zach Collins,C,7-0,235,"November 19, 1997",us,R,Gonzaga University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
3,5,Pat Connaughton,SG,6-4,209,"January 6, 1993",us,2,University of Notre Dame,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
4,17,Ed Davis,C,6-10,225,"June 5, 1989",us,7,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
5,4,Maurice Harkless,SF,6-9,220,"May 11, 1993",us,5,St. John's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
6,10,Jake Layman,SF,6-9,215,"March 7, 1994",us,1,University of Maryland,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
7,11,Meyers Leonard,C,7-1,255,"February 27, 1992",us,5,University of Illinois at Urbana-Champaign,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
8,0,Damian Lillard,PG,6-3,195,"July 15, 1990",us,5,Weber State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
9,3,CJ McCollum,SG,6-3,190,"September 19, 1991",us,4,Lehigh University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
10,6,Shabazz Napier,PG,6-1,180,"July 14, 1991",us,3,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
11,27,Jusuf Nurkić,C,7-0,275,"August 23, 1994",ba,3,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
12,19,Georgios Papagiannis,C,7-1,240,"July 3, 1997",gr,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
13,50,Caleb Swanigan,PF,6-9,250,"April 18, 1997",us,R,Purdue University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
14,1,Evan Turner,SF,6-7,220,"October 27, 1988",us,7,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
15,21,Noah Vonleh,PF,6-9,250,"August 24, 1995",us,3,Indiana University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2018.csv
0,3,OG Anunoby,SF,6-8,232,"July 17, 1997",gb,1,Indiana University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2019.csv
